Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF15475	Transmembrane protein C12orf23, UPF0444	pfam	family	IPR028153		
PF15476	Histone deacetylase complex subunit SAP25	pfam	family	IPR029163		
PF15477	Small acidic protein family	pfam	family	IPR028124		
PF15478	Family of unknown function with LKAAEAR motif	pfam	family	IPR029152		
PF15479	Domain of unknown function (DUF4639)	pfam	family	IPR028042		
PF15480	Domain of unknown function (DUF4640)	pfam	family	IPR027908		
PF15481	Chondroitin proteoglycan 4	pfam	family	IPR029153		
PF15482	Coiled-coil domain-containing glutamate-rich protein family 1	pfam	unknown	IPR027889		
PF15483	Domain of unknown function (DUF4641)	pfam	family	IPR027822		
PF15484	Domain of unknown function (DUF4642)	pfam	family	IPR027813		
PF15485	Domain of unknown function (DUF4643)	pfam	family	IPR028004		
PF15486	Domain of unknown function (DUF4644)	pfam	family	IPR027978		
PF15487	FAM220 family	pfam	family	IPR029155		
PF15488	Domain of unknown function (DUF4645)	pfam	family	IPR027891		
PF15489	CST, telomere maintenance, complex subunit CTC1	pfam	family	IPR029156		
PF15490	Telomere-capping, CST complex subunit	pfam	domain	IPR029146		
PF15491	CST, telomere maintenance, complex subunit CTC1	pfam	family	IPR028262		
PF15492	Neuroblastoma-amplified sequence, N terminal	pfam	repeat	IPR029145		
PF15493	Domain of unknown function, YrpD	pfam	family	IPR029143		
PF15494	Scavenger receptor cysteine-rich domain	pfam	domain	IPR017448		
PF15495	Major fimbrial subunit protein type IV, Fimbrillin, C-terminal	pfam	domain	IPR029140		
PF15496	Domain of unknown function (DUF4646)	pfam	family	IPR028018		
PF15497	snRNA-activating protein complex subunit 19, SNAPc subunit 19	pfam	family	IPR029138		
PF15498	Nephrin and CD2AP-binding protein, Dendrin	pfam	family	IPR026500		
PF15499	Ubiquitin-specific peptidase-like, SUMO isopeptidase	pfam	family	IPR028890		
PF15500	Putative RNase-like toxin, toxin_1	pfam	family	IPR029137		
PF15501	Nuclear protein MDM1	pfam	family	IPR029136		
PF15502	M-phase-specific PLK1-interacting protein	pfam	family	IPR028265		
PF15503	Protein phosphatase 1 regulatory subunit 35 C-terminus	pfam	family	IPR029135		
PF15504	Domain of unknown function (DUF4647)	pfam	family	IPR029134		
PF15505	Vexin domain	pfam	domain	IPR027900		
PF15506	OCC1 family	pfam	family	IPR029133		
PF15507	Domain of unknown function (DUF4649)	pfam	family	IPR027879		
PF15508	beta subunit of N-acylethanolamine-hydrolyzing acid amidase	pfam	family	IPR029130		
PF15509	Domain of unknown function (DUF4650)	pfam	family	IPR029388		
PF15510	CENP-W protein	pfam	domain	IPR028847		
PF15511	Centromere kinetochore component CENP-T histone fold	pfam	domain	IPR035425		
PF15512	Chromatin assembly factor complex 1 subunit p60, C-terminal	pfam	domain	IPR029129		
PF15513	Domain of unknown function (DUF4651)	pfam	family	IPR028105		
PF15514	Restriction endonuclease ThaI	pfam	domain	IPR029128		
PF15515	MvaI/BcnI restriction endonuclease family	pfam	domain	IPR029127		
PF15516	BpuSI N-terminal domain	pfam	domain	IPR029126		
PF15517	TBP-interacting protein N-terminus	pfam	domain	IPR029125		
PF15518	L protein N-terminus	pfam	domain	IPR029124		
PF15519	linker between RRM2 and RRM3 domains in RBM39 protein	pfam	domain	IPR029123		
PF15520	Novel toxin 10	pfam	family	IPR029122		
PF15521	Novel toxin 11	pfam	family	IPR029121		
PF15522	Novel toxin 14	pfam	family	IPR029120		
PF15523	Novel toxin 16	pfam	family	IPR029118		
PF15524	Novel toxin 17	pfam	family	IPR029117		
PF15525	Domain of unknown function (DUF4652)	pfam	family	IPR028102		
PF15526	Novel toxin 21	pfam	family	IPR028190		
PF15527	Bacterial toxin 22	pfam	family	IPR029116		
PF15528	Bacterial toxin 23	pfam	family	IPR029115		
PF15529	Bacterial toxin 24	pfam	family	IPR029114		
PF15530	Bacterial toxin 25	pfam	family	IPR029113		
PF15531	Bacterial toxin 27	pfam	family	IPR029112		
PF15532	Bacterial toxin 30	pfam	family	IPR029111		
PF15533	Bacterial toxin 33	pfam	family	IPR029110		
PF15534	Bacterial toxin 35	pfam	family	IPR029109		
PF15535	Bacterial toxin 37	pfam	family	IPR029108		
PF15536	Bacterial toxin 3	pfam	family	IPR029107		
PF15537	Bacterial toxin 43	pfam	family	IPR029106		
PF15538	Bacterial toxin 46	pfam	family	IPR028238		
PF15539	CAF1 complex subunit p150, region binding to CAF1-p60 at C-term	pfam	domain	IPR029105		
PF15540	Bacterial toxin 47	pfam	family	IPR029103		
PF15541	Bacterial toxin 4	pfam	family	IPR029102		
PF15542	Bacterial toxin 50	pfam	family	IPR029100		
PF15543	Bacterial toxin 5	pfam	family	IPR032759		
PF15544	Bacterial toxin 6	pfam	family	IPR032760		
PF15545	Bacterial toxin 8	pfam	family	IPR029097		
PF15546	Domain of unknown function (DUF4653)	pfam	family	IPR027812		
PF15547	Steroid receptor-associated and regulated protein	pfam	family	IPR027852		
PF15548	Domain of unknown function (DUF4655)	pfam	family	IPR027979		
PF15549	PGC7/Stella/Dppa3 domain	pfam	family	IPR029096		
PF15550	Draxin	pfam	family	IPR029094		
PF15551	Domain of unknown function (DUF4656)	pfam	family	IPR028003		
PF15552	Domain of unknown function (DUF4657)	pfam	family	IPR027958		
PF15553	Testis-expressed protein 19	pfam	family	IPR029093		
PF15554	FSIP1 family	pfam	family	IPR026246		
PF15555	Domain of unknown function (DUF4658)	pfam	family	IPR028114		
PF15556	ZW10 interactor	pfam	family	IPR029092		
PF15557	CAF1 complex subunit p150, region binding to PCNA	pfam	domain	IPR029091		
PF15558	Domain of unknown function (DUF4659)	pfam	family	IPR029090		
PF15559	Domain of unknown function (DUF4660)	pfam	family	IPR029089		
PF15560	Immunity protein 12	pfam	family	IPR029088		
PF15561	Immunity protein 15	pfam	family	IPR028264		
PF15562	Immunity protein 17	pfam	family	IPR029087		
PF15563	Immunity protein 19	pfam	family	IPR029086		
PF15564	Immunity protein 25	pfam	family	IPR029085		
PF15565	Immunity protein 30	pfam	family	IPR029084		
PF15566	Immunity protein 32	pfam	family	IPR029083		
PF15567	Immunity protein 35	pfam	family	IPR029082		
PF15568	Immunity protein 39	pfam	family	IPR029081		
PF15569	Immunity protein 40	pfam	family	IPR029080		
PF15570	Immunity protein 43	pfam	family	IPR029079		
PF15571	Immunity protein 44	pfam	family	IPR029078		
PF15572	Immunity protein 45	pfam	family	IPR029077		
PF15573	Immunity protein 47	pfam	family	IPR029076		
PF15574	Immunity protein 48	pfam	family	IPR029075		
PF15575	Immunity protein 49	pfam	family	IPR029074		
PF15576	Domain of unknown function (DUF4661)	pfam	family	IPR029073		
PF15578	Domain of unknown function (DUF4662)	pfam	family	IPR028970		
PF15579	Immunity protein 52	pfam	family	IPR028969		
PF15580	Immunity protein 53	pfam	family	IPR028228		
PF15581	Immunity protein 58	pfam	family	IPR028968		
PF15582	Immunity protein 65	pfam	family	IPR028967		
PF15583	Immunity protein 68	pfam	family	IPR028276		
PF15584	Immunity protein 72	pfam	family	IPR028966		
PF15585	Immunity protein 7	pfam	family	IPR028965		
PF15586	Immunity protein 8	pfam	family	IPR028964		
PF15587	Immunity protein 9	pfam	family	IPR028963		
PF15588	Immunity protein 10	pfam	family	IPR028962		
PF15589	Immunity protein 21	pfam	family	IPR028961		
PF15590	Immunity protein 27	pfam	family	IPR028960		
PF15591	Immunity protein 31	pfam	family	IPR028200		
PF15592	Immunity protein 41	pfam	family	IPR028959		
PF15593	Immunity protein 42	pfam	family	IPR028958		
PF15594	Immunity protein 50	pfam	family	IPR028957		
PF15595	Immunity protein 51	pfam	family	IPR028956		
PF15596	Immunity protein 57	pfam	family	IPR028955		
PF15597	Immunity protein 59	pfam	family	IPR028954		
PF15598	Immunity protein 61	pfam	family	IPR028953		
PF15599	Immunity protein 63	pfam	family	IPR028952		
PF15600	Immunity protein 64	pfam	family	IPR028951		
PF15601	Immunity protein 70	pfam	family	IPR028185		
PF15602	Immunity protein 71	pfam	family	IPR028950		
PF15603	Immunity protein 74	pfam	family	IPR028148		
PF15604	Novel toxin 15	pfam	family	IPR028949		
PF15605	Bacterial toxin 28	pfam	family	IPR028948		
PF15606	Bacterial toxin 34	pfam	family	IPR028947		
PF15607	Bacterial toxin 44	pfam	family	IPR028946		
PF15608	PELOTA RNA binding domain	pfam	domain	IPR028157		
PF15609	Phosphoribosyl transferase	pfam	family	IPR041688		
PF15610	PRTase ComF-like	pfam	family	IPR028944		
PF15611	EH_Signature domain	pfam	domain	IPR028943		
PF15612	WSTF, HB1, Itc1p, MBD9 motif 1	pfam	conserved_site	IPR028942		
PF15613	Williams-Beuren syndrome DDT (WSD), D-TOX E motif	pfam	family	IPR028941		
PF15615	TerB-C domain	pfam	domain	IPR028932		
PF15616	TerY-C metal binding domain	pfam	domain	IPR028274		
PF15617	C-C_Bond_Lyase of the TIM-Barrel fold	pfam	family	IPR039480		
PF15619	Ciliary protein causing Leber congenital amaurosis disease	pfam	unknown	IPR028933		
PF15620	Centromere assembly component CENP-C middle DNMT3B-binding region	pfam	family	IPR028931		
PF15621	Proline-rich submaxillary gland androgen-regulated family	pfam	family	IPR026288		
PF15622	Kinetochore assembly subunit CENP-C N-terminal	pfam	family	IPR028052		
PF15623	Cancer/testis gene family 47	pfam	family	IPR028930		
PF15624	Kinetochore CENP-C fungal homologue, Mif2, N-terminal	pfam	family	IPR028929		
PF15625	CC2D2A N-terminal C2 domain	pfam	domain	IPR028928		
PF15626	single CXXC unit	pfam	family	IPR039479		
PF15627	CEP76 C2 domain	pfam	domain	IPR028926		
PF15628	RRM in Demeter	pfam	family	IPR028925		
PF15629	Permuted single zf-CXXC unit	pfam	family	IPR028924		
PF15630	CENP-S protein	pfam	domain	IPR029003		
PF15631	NTF2 fold immunity protein	pfam	family	IPR028921		
PF15632	ATP-grasp in the biosynthetic pathway with Ter operon	pfam	domain			
PF15633	HYD1 signature containing ADP-ribosyltransferase	pfam	family	IPR028920		
PF15634	HYE1 signature containing ADP-ribosyltransferase	pfam	family	IPR028918		
PF15635	GHH signature containing HNH/Endo VII superfamily nuclease toxin 2	pfam	family	IPR028917		
PF15636	GHH signature containing HNH/Endo VII superfamily nuclease toxin	pfam	family	IPR028916		
PF15637	HNH/Endo VII superfamily nuclease toxin with a HHH motif	pfam	family	IPR028915		
PF15638	Metallopeptidase toxin 2	pfam	family	IPR028914		
PF15639	Metallopeptidase toxin 3	pfam	family	IPR028913		
PF15640	Metallopeptidase toxin 4	pfam	family	IPR028912		
PF15641	Metallopeptidase toxin 5	pfam	family	IPR028911		
PF15642	Toxin in Odyssella and Amoebophilus	pfam	family	IPR028050		
PF15643	Papain fold toxin 2	pfam	family	IPR028910		
PF15644	Papain fold toxin 1, glutamine deamidase	pfam	domain	IPR028908		
PF15645	Dermonecrotoxin of the Papain-like fold	pfam	family	IPR028907		
PF15646	Restriction endonuclease fold toxin 2	pfam	family	IPR028906		
PF15647	Restriction endonuclease fold toxin 3	pfam	family	IPR028905		
PF15648	Restriction endonuclease fold toxin 5	pfam	family	IPR028904		
PF15649	Restriction endonuclease fold toxin 7	pfam	family	IPR028903		
PF15650	Restriction endonuclease fold toxin 9	pfam	family	IPR028902		
PF15651	Salivary glad secreted protein domain toxin	pfam	family	IPR028901		
PF15652	HNH/Endo VII superfamily toxin with a SHH signature	pfam	family	IPR028900		
PF15653	URI fold toxin 2	pfam	family	IPR028899		
PF15654	Toxin with a conserved tryptophan and TIP tripeptide motif	pfam	family	IPR028898		
PF15655	NTF2 fold immunity protein	pfam	family	IPR028049		
PF15656	Toxin with a H, D/N and C signature	pfam	family	IPR028897		
PF15657	HNH/Endo VII superfamily nuclease toxins	pfam	family	IPR028048		
PF15658	Latrotoxin C-terminal domain	pfam	family	IPR028047		
PF15659	JAB-like toxin 1	pfam	family	IPR028218		
PF15660	Putative Immunity protein 75	pfam	family	IPR028046		
PF15661	C6orf222, uncharacterised family	pfam	family	IPR031362		
PF15662	Spermatogenesis-associated protein 3 family	pfam	family	IPR026717		
PF15663	Zinc-finger containing family	pfam	family	IPR041686		
PF15664	Transmembrane protein 252 family	pfam	family	IPR031363		
PF15665	Family with sequence similarity 184, A and B	pfam	unknown	IPR039478		
PF15666	Germinal center-associated lymphoma	pfam	family	IPR031364		
PF15667	Protein of unknown function with motif GDWWSH	pfam	family	IPR031365		
PF15668	Domain of unknown function (DUF4663)	pfam	family	IPR031366		
PF15669	Coiled-coil domain-containing protein 24 family	pfam	family	IPR031367		
PF15670	Spermatid maturation protein 1	pfam	family	IPR031368		
PF15671	Proline-rich protein family 18	pfam	family	IPR031369		
PF15672	Cell-membrane associated Mucin15	pfam	family	IPR031371		
PF15673	Circadian-associated transcriptional repressor	pfam	family	IPR031373		
PF15674	Coiled-coil domain-containing protein 23	pfam	family	IPR031378		
PF15675	CLLAC-motif containing domain	pfam	family	IPR031379		
PF15676	Six6 opposite strand transcript 1 family	pfam	family	IPR031380		
PF15677	Cell cycle exit and neuronal differentiation protein 1	pfam	family	IPR020162		
PF15678	Centriole duplication and mitotic chromosome congression	pfam	family	IPR031387		
PF15679	Domain of unknown function (DUF4665)	pfam	family	IPR031389		
PF15680	Orofacial cleft 1 candidate gene 1 protein	pfam	family	IPR031390		
PF15681	Lymphocyte activation family X	pfam	family	IPR031393		
PF15682	Musculoskeletal, temporally activated-embryonic nuclear protein 1	pfam	family	IPR031394		
PF15683	Testis development-related protein	pfam	family	IPR031399		
PF15684	Active regulator of SIRT1, or 40S ribosomal protein S19-binding 1	pfam	family	IPR023262		
PF15685	Gametogenetin	pfam	family	IPR031400		
PF15686	Lysine-rich CEACAM1 co-isolated protein family	pfam	family	IPR031402		
PF15687	Nuclear receptor-interacting protein 1 repression 1	pfam	family	IPR031405		
PF15688	Nuclear receptor-interacting protein 1 repression 2	pfam	family	IPR031406		
PF15689	Nuclear receptor-interacting protein 1 repression 3	pfam	family	IPR031407		
PF15690	Nuclear receptor-interacting protein 1 repression 4	pfam	family	IPR031408		
PF15691	Protein phosphatase 1 regulatory subunit 32	pfam	family	IPR031410		
PF15692	NF-kappa-B-activating protein	pfam	family			
PF15693	Mediator complex subunit 26 C-terminal	pfam	domain	IPR031416		
PF15694	Mediator complex subunit 26 middle domain	pfam	domain	IPR031417		
PF15695	Rec (regulator of expression encoded by corf) of HERV-K-113	pfam	family			
PF15696	RAD51 interacting motif	pfam	family	IPR031419		
PF15697	Domain of unknown function (DUF4666)	pfam	family	IPR031421		
PF15698	Phosphatase	pfam	family	IPR031423		
PF15699	NPR1 interacting	pfam	family	IPR031425		
PF15700	Domain of unknown function (DUF4667)	pfam	family	IPR031426		
PF15701	Domain of unknown function (DUF4668)	pfam	family	IPR031427		
PF15702	Hermansky-Pudlak syndrome 6 protein N-terminal domain	pfam	repeat	IPR046823		
PF15703	Linker for activation of T-cells family member 2	pfam	family	IPR031428		
PF15704	Mitochondrial ATP synthase subunit	pfam	family	IPR031432		
PF15705	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term	pfam	family	IPR031435		
PF15706	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term	pfam	family	IPR031436		
PF15707	Mitochondrial coiled-coil domain protein 1	pfam	family	IPR031438		
PF15708	Proline-rich protein family 20	pfam	family	IPR031439		
PF15709	Domain of unknown function (DUF4670)	pfam	family	IPR031440		
PF15710	Break repair meiotic recombinase recruitment factor 1	pfam	family	IPR031441		
PF15711	Interleukin-like EMT inducer	pfam	domain	IPR039477		
PF15712	NPAT C terminus	pfam	family	IPR031442		
PF15713	Protein tyrosine phosphatase receptor type C-associated	pfam	family	IPR016553		
PF15714	Stage V sporulation protein T C-terminal, transcription factor	pfam	domain			
PF15715	PCNA-associated factor histone like domain	pfam	domain	IPR031444		
PF15716	Domain of unknown function (DUF4672)	pfam	family	IPR031445		
PF15717	Pericentriolar material 1 C terminus	pfam	family	IPR031446		
PF15718	Protein moonraker	pfam	family	IPR031447		
PF15719	Domain of unknown function (DUF4674)	pfam	family	IPR029779		
PF15720	Domain of unknown function (DUF4675)	pfam	family			
PF15721	Annexin-2 receptor	pfam	family	IPR031449		
PF15722	FAM153 family	pfam	family	IPR023249		
PF15723	Motility quorum-sensing regulator, toxin of MqsA	pfam	domain	IPR031451		
PF15724	TMEM119 family	pfam	family	IPR031453		
PF15725	Renal cancer differentiation gene 1 protein	pfam	family	IPR031457		
PF15726	Domain of unknown function (DUF4677)	pfam	family	IPR031458		
PF15727	Domain of unknown function (DUF4678)	pfam	family	IPR031460		
PF15728	Domain of unknown function (DUF4679)	pfam	family	IPR031461		
PF15729	Amyotrophic lateral sclerosis 2 candidate 11	pfam	family	IPR031462		
PF15730	Domain of unknown function (DUF4680)	pfam	family	IPR031464		
PF15731	Antitoxin component of bacterial toxin-antitoxin system, MqsA	pfam	domain	IPR032758		
PF15732	Domain of unknown function (DUF4681)	pfam	family	IPR031465		
PF15733	Domain of unknown function (DUF4682)	pfam	family	IPR032738		
PF15734	Migration and invasion-inhibitory	pfam	family	IPR031466		
PF15735	Domain of unknown function (DUF4683)	pfam	family	IPR032757		
PF15736	Domain of unknown function (DUF4684)	pfam	family	IPR031473		
PF15737	Domain of unknown function (DUF4685)	pfam	family	IPR032756		
PF15738	Bacterial toxin of type II toxin-antitoxin system, YafQ	pfam	domain	IPR004386		
PF15739	Translin-associated factor X-interacting N-terminus	pfam	family	IPR032755		
PF15740	Protein phosphatase 1 regulatory subunit 26 N-terminus	pfam	family	IPR031474		
PF15741	Ligand-dependent nuclear receptor-interacting factor 1	pfam	family	IPR026191		
PF15742	Domain of unknown function (DUF4686)	pfam	unknown	IPR031476		
PF15743	Spermatogenesis-associated C-terminus	pfam	family	IPR031478		
PF15744	Uncharacterized protein family UPF0492	pfam	family	IPR031479		
PF15745	AP-1 complex-associated regulatory protein	pfam	family	IPR031483		
PF15746	TMEM215 family	pfam	family	IPR031486		
PF15747	Domain of unknown function (DUF4687)	pfam	family	IPR031487		
PF15748	Centriole, cilia and spindle-associated	pfam	family	IPR029774		
PF15749	MRN-interacting protein	pfam	family	IPR032739		
PF15750	Ubiquitin-binding zinc-finger	pfam	family	IPR031490		
PF15751	FAAP20 FANCA interaction domain	pfam	family	IPR031491		
PF15752	Domain of unknown function (DUF4688)	pfam	family	IPR031496		
PF15753	Biogenesis of lysosome-related organelles complex 1 subunit 3	pfam	family	IPR017245		
PF15754	Sperm equatorial segment protein 1	pfam	family	IPR026743		
PF15755	Domain of unknown function (DUF4689)	pfam	family	IPR031499		
PF15756	Small Novel Rich in Cartilage	pfam	family	IPR031500		
PF15757	Amelotin	pfam	family	IPR031501		
PF15758	Histidine-rich carboxyl terminus protein 1	pfam	family	IPR031506		
PF15759	TMEM108 family	pfam	family	IPR031508		
PF15760	Leukemia-associated protein 7	pfam	family	IPR031510		
PF15761	Immortalisation up-regulated protein	pfam	unknown	IPR026621		
PF15762	Domain of unknown function (DUF4691)	pfam	family	IPR031516		
PF15763	Regulator of human erythroid cell expansion (RHEX)	pfam	family	IPR031517		
PF15764	Domain of unknown function (DUF4693)	pfam	family	IPR031518		
PF15765	Domain of unknown function (DUF4694)	pfam	family	IPR031520		
PF15766	Domain of unknown function (DUF4695)	pfam	family	IPR031521		
PF15767	Armadillo-like helical domain-containing protein 4	pfam	family	IPR031524		
PF15768	Coiled-coil domain-containing protein 190	pfam	family	IPR031525		
PF15769	Domain of unknown function (DUF4698)	pfam	family	IPR031526		
PF15770	Domain of unknown function (DUF4699)	pfam	family	IPR031528		
PF15771	Interactor of HORMAD1 protein 1	pfam	family	IPR031529		
PF15772	UPF0688 family	pfam	family	IPR031530		
PF15773	Dynein axonemal-associated protein 1	pfam	family	IPR031531		
PF15774	Domain of unknown function (DUF4702)	pfam	family	IPR031532		
PF15775	Domain of unknown function (DUF4703)	pfam	family	IPR031534		
PF15776	Proline-rich protein family 22	pfam	family	IPR031535		
PF15777	Tryptophan RNA-binding attenuator protein inhibitory protein	pfam	domain	IPR031538		
PF15778	UNC80 N-terminal	pfam	family	IPR031542		
PF15779	Leucine-rich repeat-containing protein 37 family	pfam	family	IPR032754		
PF15780	Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin	pfam	domain	IPR031549		
PF15781	ParE-like toxin of type II bacterial toxin-antitoxin system	pfam	domain	IPR031552		
PF15782	GREB1 N-terminal region	pfam	family	IPR046926		
PF15783	Fibrous sheath-interacting protein 2	pfam	family	IPR031554		
PF15784	G-protein pathway suppressor 2-interacting domain	pfam	family	IPR031557		
PF15785	Serine/threonine-protein kinase smg-1	pfam	family	IPR031559		
PF15786	PET assembly of cytochrome c oxidase, mitochondrial	pfam	family	IPR031568		
PF15787	Neurobeachin/BDCP, DUF4704 alpha solenoid region	pfam	repeat	IPR031570		
PF15788	Domain of unknown function (DUF4705)	pfam	repeat	IPR031572		
PF15789	Hyphally regulated cell wall GPI-anchored protein 1	pfam	repeat	IPR031573		
PF15790	E1A-binding protein p400, N-terminal	pfam	family	IPR031575		
PF15791	Doublesex-and mab-3-related transcription factor C1 and C2	pfam	family	IPR031577		
PF15792	Lung adenoma susceptibility protein 2	pfam	family	IPR031587		
PF15793	Protein family FAM35, C-terminal	pfam	family	IPR031589		
PF15794	Coiled-coil domain-containing protein 106	pfam	family	IPR031591		
PF15795	Ectodermal ciliogenesis protein	pfam	family	IPR026673		
PF15796	KELK-motif containing domain of MRCK Ser/Thr protein kinase	pfam	unknown	IPR031597		
PF15797	Domain of unknown function (DUF4706)	pfam	family	IPR031600		
PF15798	Proline-rich AKT1 substrate 1	pfam	family	IPR026682		
PF15799	Coiled-coil domain-containing protein 48	pfam	family	IPR031601		
PF15800	Clock interacting protein circadian	pfam	family	IPR031602		
PF15801	zf-MYND-like zinc finger, mRNA-binding	pfam	domain	IPR031615		
PF15802	DDB1- and CUL4-associated factor 17	pfam	family	IPR031620		
PF15803	Zinc-finger of sodium channel modifier 1	pfam	family	IPR031622		
PF15804	Coiled-coil domain-containing protein 168	pfam	repeat	IPR031624		
PF15805	Acidic C-terminal region of sodium channel modifier 1 SCNM1	pfam	family	IPR031625		
PF15806	Domain of unknown function (DUF4707)	pfam	family	IPR031626		
PF15807	Membrane-associated protein 117 kDa, PDZK1-interacting protein 1	pfam	family	IPR031627		
PF15808	BCL-6 co-repressor, non-ankyrin-repeat region	pfam	family	IPR031628		
PF15809	Simian taste bud-specific gene product family	pfam	family	IPR026135		
PF15810	Coiled-coil domain-containing protein 117	pfam	family	IPR031630		
PF15811	Small VCP/p97-interacting protein	pfam	family	IPR031632		
PF15812	Melanoregulin	pfam	family	IPR031638		
PF15813	Domain of unknown function (DUF4708)	pfam	family	IPR031643		
PF15814	Protein family FAM199X	pfam	family	IPR029672		
PF15815	E3 ubiquitin-protein ligase makorin, C-terminal	pfam	domain	IPR031644		
PF15816	Transmembrane protein 82	pfam	family	IPR031648		
PF15817	Transmembrane protein 40 family	pfam	family	IPR026181		
PF15818	Coiled-coil domain-containing protein 73 family	pfam	family	IPR031650		
PF15819	Fin bud initiation factor homologue	pfam	family	IPR026772		
PF15820	Endothelial cell-specific chemotaxis regulator	pfam	family	IPR026247		
PF15821	Domain of unknown function (DUF4709)	pfam	family	IPR031651		
PF15822	MAPK-interacting and spindle-stabilising protein-like	pfam	family	IPR031653		
PF15823	UPF0524 of C3orf70	pfam	family	IPR029670		
PF15824	Spermatogenesis-associated protein 9	pfam	family	IPR031659		
PF15825	FAM25 family	pfam	family	IPR023243		
PF15826	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis	pfam	family	IPR031661		
PF15827	UPF0730 unknown protein family	pfam	family	IPR031665		
PF15828	Domain of unknown function (DUF4710)	pfam	family	IPR031667		
PF15829	Domain of unknown function (DUF4711)	pfam	family	IPR031668		
PF15830	Domain of unknown function (DUF4712)	pfam	family	IPR031670		
PF15831	Domain of unknown function (DUF4713)	pfam	family	IPR031671		
PF15832	FAM27 D and E protein family	pfam	family	IPR031672		
PF15833	Domain of unknown function (DUF4714)	pfam	family	IPR031674		
PF15834	Testis highly expressed protein 4	pfam	family	IPR031677		
PF15835	Domain of unknown function (DUF4715)	pfam	family	IPR031678		
PF15836	SSTK-interacting protein, TSSK6-activating co-chaperone protein	pfam	family	IPR031679		
PF15837	Domain of unknown function (DUF4716)	pfam	family	IPR031683		
PF15838	LLLL and CFNLAS motif-containing protein 1	pfam	family	IPR031684		
PF15839	Testis-expressed sequence 29 protein	pfam	family	IPR031685		
PF15840	ADP-ribosylation factor-like protein 17	pfam	family	IPR031687		
PF15841	Transmembrane protein 239 family	pfam	family	IPR031694		
PF15842	Domain of unknown function (DUF4718)	pfam	family	IPR031695		
PF15843	Domain of unknown function (DUF4719)	pfam	family	IPR031696		
PF15844	Transmembrane and coiled-coil domain-containing protein 2	pfam	family	IPR031697		
PF15845	Cysteine-rich C-terminal 1 family	pfam	unknown	IPR031698		
PF15846	Domain of unknown function (DUF4720)	pfam	family	IPR031699		
PF15847	Major keratinocyte cell envelope protein	pfam	family	IPR031700		
PF15848	Odontogenesis associated phosphoprotein	pfam	family	IPR031706		
PF15849	Domain of unknown function (DUF4722)	pfam	family	IPR031708		
PF15851	Domain of unknown function (DUF4723)	pfam	family	IPR031710		
PF15852	Domain of unknown function (DUF4724)	pfam	family	IPR031711		
PF15854	G-protein coupled receptor ligand 15	pfam	family	IPR031713		
PF15855	Domain of unknown function (DUF4726)	pfam	family	IPR031714		
PF15856	Domain of unknown function (DUF4727)	pfam	family	IPR031715		
PF15858	Late cornified envelope protein 6A family	pfam	family	IPR031716		
PF15859	Deleted in esophageal cancer 1 family	pfam	family	IPR031718		
PF15860	Domain of unknown function (DUF4728)	pfam	family	IPR031720		
PF15861	Partial cleavage stimulation factor domain	pfam	domain	IPR031721		
PF15862	Coilin N-terminus	pfam	family	IPR031722		
PF15863	Extended EGL-27 and MTA1 homology domain	pfam	domain	IPR031724		
PF15864	Protein glycosylation ligase	pfam	domain	IPR031726		
PF15865	Fanconi anaemia group A protein N terminus	pfam	family	IPR031729		
PF15866	Domain of unknown function (DUF4729)	pfam	family	IPR031732		
PF15867	Dynein attachment factor N-terminus	pfam	family	IPR031733		
PF15868	Transcription activator MBF2	pfam	family	IPR031734		
PF15869	TolB-like 6-blade propeller-like	pfam	repeat			
PF15870	ElonginA binding-protein 1	pfam	family	IPR031736		
PF15871	Junction-mediating and -regulatory protein	pfam	family	IPR031738		
PF15872	Serine-rich and transmembrane domain-containing protein 1	pfam	family	IPR031741		
PF15873	Domain of unknown function (DUF4730)	pfam	family	IPR031742		
PF15874	Putative Interleukin 2 receptor, gamma chain	pfam	family	IPR039471		
PF15875	Domain of unknown function (DUF4731)	pfam	family	IPR031744		
PF15876	Domain of unknown function (DUF4732)	pfam	family	IPR031746		
PF15877	Transmembrane protein family 232	pfam	family	IPR031747		
PF15878	Domain of unknown function (DUF4733)	pfam	family	IPR031748		
PF15879	NADH-ubiquinone oxidoreductase MWFE subunit	pfam	family	IPR017384		
PF15880	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	pfam	family	IPR026193		
PF15881	Domain of unknown function (DUF4734)	pfam	family	IPR031750		
PF15882	Domain of unknown function (DUF4735)	pfam	family	IPR031751		
PF15883	Domain of unknown function (DUF4736)	pfam	family	IPR031754		
PF15884	MICOS complex subunit MIC13, QIL1	pfam	family	IPR026769		
PF15886	Carbohydrate binding domain (family 32)	pfam	domain	IPR031756		
PF15887	Putative zinc-binding metallo-peptidase	pfam	family	IPR031321		
PF15888	Folded gastrulation N-terminus	pfam	domain	IPR031761		
PF15889	Domain of unknown function (DUF4738)	pfam	family	IPR031762		
PF15890	Putative zinc-binding metallo-peptidase	pfam	family	IPR030890		
PF15891	Nucleoside 2-deoxyribosyltransferase like	pfam	family	IPR039470		
